clock	state	temp_act	temp_ext	temp_int	temp_set	time	watch
20250513 203719	1	2.38	0.6	5.0	0	3600	555.0507771968842
20250513 203720	1	2.38	0.6	5.0	0	3600	556.710779428482
20250513 203722	1	2.38	0.6	5.0	0	3600	558.3707818984985
20250513 203724	1	2.31	0.6	5.0	0	3600	560.0307841300964
20250513 203725	1	2.31	0.6	5.0	0	3600	561.6907863616943
20250513 203727	1	2.31	0.6	5.0	0	3600	563.3507885932922
20250513 203729	1	2.25	0.6	5.0	0	3600	565.0107910633087
20250513 203730	1	2.25	0.6	5.0	0	3600	566.6707932949066
20250513 203732	1	2.25	0.6	5.0	0	3600	568.3307955265045
20250513 203734	1	2.25	0.6	5.0	0	3600	569.990797996521
20250513 203735	1	2.25	0.6	5.0	0	3600	571.6508004665375
20250513 203737	1	2.19	0.6	5.0	0	3600	573.3108026981354
20250513 203739	1	2.19	0.6	5.0	0	3600	574.9708051681519
20250513 203740	1	2.19	0.6	5.0	0	3600	576.6308073997498
20250513 203742	1	2.19	0.6	5.0	0	3600	578.2908096313477
20250513 203744	1	2.19	0.6	5.0	0	3600	579.9508121013641
20250513 203745	1	2.13	0.6	5.0	0	3600	581.610814332962
20250513 203747	1	2.13	0.6	5.0	0	3600	583.2708165645599
20250513 203749	1	2.13	0.6	5.0	0	3600	584.9308190345764
20250513 203750	1	2.13	0.6	5.0	0	3600	586.5908212661743
20250513 203752	1	2.13	0.6	5.0	0	3600	588.2508234977722
20250513 203754	1	2.06	0.6	5.0	0	3600	589.9108257293701
20250513 203755	1	2.06	0.6	5.0	0	3600	591.5708284378052
20250513 203757	1	2.06	0.6	5.0	0	3600	593.2308306694031
20250513 203759	1	2.06	0.6	5.0	0	3600	594.890832901001
20250513 203800	1	2.06	0.6	5.0	0	3600	596.5508353710175
20250513 203802	1	2.06	0.6	5.0	0	3600	598.2108376026154
20250513 203804	1	2.06	0.6	5.0	0	3600	599.8708398342133
20250513 203805	1	2.0	0.6	5.0	0	3600	601.5308423042297
20250513 203807	1	2.0	0.6	5.0	0	3600	603.1908445358276
20250513 203809	1	2.0	0.6	5.0	0	3600	604.8508467674255
20250513 203810	1	2.0	0.6	5.0	0	3600	606.510849237442
20250513 203812	1	2.0	0.6	5.0	0	3600	608.1708514690399
20250513 203814	1	2.0	0.6	5.0	0	3600	609.8308537006378
20250513 203815	1	2.0	0.6	5.0	0	3600	611.4908559322357
20250513 203817	1	1.94	0.6	5.0	0	3600	613.1508586406708
20250513 203818	1	1.94	0.6	5.0	0	3600	614.8108608722687
20250513 203820	1	1.94	0.6	5.0	0	3600	616.4708631038666
20250513 203822	1	1.94	0.6	5.0	0	3600	618.130865573883
20250513 203823	1	1.94	0.6	5.0	0	3600	619.790867805481
20250513 203825	1	1.94	0.6	5.0	0	3600	621.4508700370789
20250513 203827	1	1.94	0.6	5.0	0	3600	623.1108725070953
20250513 203828	1	1.94	0.6	5.0	0	3600	624.7708747386932
20250513 203830	1	1.94	0.6	5.0	0	3600	626.4308769702911
20250513 203832	1	1.88	0.6	5.0	0	3600	628.0908794403076
20250513 203833	1	1.94	0.6	5.0	0	3600	629.7508816719055
20250513 203835	1	1.88	0.6	5.0	0	3600	631.4108839035034
20250513 203837	1	1.88	0.6	5.0	0	3600	633.0708866119385
20250513 203838	1	1.88	0.6	5.0	0	3600	634.7308888435364
20250513 203840	1	1.88	0.6	5.0	0	3600	636.3908910751343
20250513 203842	1	1.88	0.6	5.0	0	3600	638.0508933067322
20250513 203843	1	1.88	0.6	5.0	0	3600	639.7108957767487
20250513 203845	1	1.88	0.6	5.0	0	3600	641.3708980083466
20250513 203847	1	1.88	0.6	5.0	0	3600	643.0309002399445
20250513 203848	1	1.88	0.6	5.0	0	3600	644.6909027099609
20250513 203850	1	1.88	0.6	5.0	0	3600	646.3509049415588
20250513 203852	1	1.88	0.6	5.0	0	3600	648.0109071731567
20250513 203853	1	1.81	0.6	5.0	0	3600	649.6709096431732
20250513 203855	1	1.88	0.6	5.0	0	3600	651.3309118747711
20250513 203857	1	1.81	0.6	5.0	0	3600	652.990914106369
