eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
1C,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.878647395,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.000518559,1bar
250A,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.132138741,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.000312502,250bar
250B,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.251829817,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.00034554,250bar
250C,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,0.525324394,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.000145004,250bar
1A,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.037703592,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,1.04072E-05,1bar
1B,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.036598144,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,1.01021E-05,1bar
1C,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.032196876,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,8.88723E-06,1bar
250A,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.060359692,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,1.6661E-05,250bar
250B,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.052396372,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,1.44629E-05,250bar
250C,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.012631067,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,3.48653E-06,250bar
