eid	id	rab	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar_2	group	sp	collection	depth
1A	CL 65:2_28.89 | 16:0_16:0_16:1_17:1	0.115554849	CL	1	NA	65	2	28.89	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_16:1_17:1	3.18963e-5	1bar	Ecoli	NA	1
1A	CL 65:4_28.80	0.174483754	CL	1	NA	65	4	28.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	65:04:00	4.81624e-5	1bar	Ecoli	NA	1
1A	CL 66:2_29.03 | 14:0_16:0_17:1_19:1	0.170733148	CL	1	NA	66	2	29.03	NA	14	0	NA	16	0	NA	NA	NA	FALSE	14:0_16:0_17:1_19:1	4.71271e-5	1bar	Ecoli	NA	1
1A	CL 66:2_29.03 | 16:0_16:0_17:1_17:1	2.278566259	CL	1	NA	66	2	29.03	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_17:1_17:1	6.28948e-4	1bar	Ecoli	NA	1
1A	CL 67:1_29.46 | 16:0_16:0_16:0_19:1	0.575745809	CL	1	NA	67	1	29.46	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_16:0_19:1	1.58922e-4	1bar	Ecoli	NA	1
1A	CL 67:1_29.46 | 16:0_16:0_17:1_18:0	0.098303573	CL	1	NA	67	1	29.46	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_17:1_18:0	2.71345e-5	1bar	Ecoli	NA	1
1A	CL 67:2_29.21 | 15:0_16:0_17:1_19:1	0.015895931	CL	1	NA	67	2	29.21	NA	15	0	NA	16	0	NA	NA	NA	FALSE	15:0_16:0_17:1_19:1	4.38772e-6	1bar	Ecoli	NA	1
1A	CL 67:2_29.21 | 16:0_16:0_16:1_19:1	0.034352583	CL	1	NA	67	2	29.21	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_16:1_19:1	9.48227e-6	1bar	Ecoli	NA	1
1A	CL 67:2_29.21 | 16:0_16:0_17:1_18:1	0.048024515	CL	1	NA	67	2	29.21	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_17:1_18:1	1.32561e-5	1bar	Ecoli	NA	1
1A	CL 67:2_29.21 | 16:0_17:0_17:1_17:1	0.018484673	CL	1	NA	67	2	29.21	NA	16	0	NA	17	0	NA	NA	NA	FALSE	16:0_17:0_17:1_17:1	5.10228e-6	1bar	Ecoli	NA	1
