eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar,group
250C,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.096320263,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,0.110909367,250bar
1A,CL 65:4_28.80,0.174483754,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,0.147856033,1bar
1B,CL 65:4_28.80,0.181045978,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,0.153416805,1bar
1C,CL 65:4_28.80,0.156351749,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,0.132491128,1bar
250A,CL 65:4_28.80,0.230104394,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,0.194988486,250bar
250B,CL 65:4_28.80,0.330409512,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,0.279986181,250bar
250C,CL 65:4_28.80,0.107696828,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,0.091261367,250bar
1A,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.170733148,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,0.148850279,1bar
1B,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.166241671,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,0.144934475,1bar
1C,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.153629837,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,0.133939101,1bar
250A,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.267703901,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,0.233392291,250bar
250B,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.318726987,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,0.277875748,250bar
250C,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.069977067,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,0.061008106,250bar
1A,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.278566259,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.204327479,1bar
1B,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.084117522,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.18689054,1bar
1C,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.207874748,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.197988309,1bar
250A,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,1.604835568,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.143911551,250bar
250B,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.281158425,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.204559928,250bar
250C,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,0.694988487,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.062322193,250bar
1A,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.575745809,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.207680054,1bar
1B,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.651505388,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.235007658,1bar
1C,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.607634693,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.219182848,1bar
250A,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.334458803,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.120644252,250bar
250B,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.470117935,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.169578513,250bar
250C,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.132810381,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.047906675,250bar
1A,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.098303573,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,0.225738437,1bar
1B,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.123589629,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,0.283803822,1bar
1C,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.123647517,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,0.283936753,1bar
250B,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.089934843,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,0.206520988,250bar
1A,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.015895931,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,0.125969491,1bar
1B,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.016110651,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,0.127671062,1bar
1C,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.041563963,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,0.329379328,1bar
250A,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.037589287,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,0.297881468,250bar
250C,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.015028909,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,0.119098651,250bar
1A,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.034352583,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,0.237611466,1bar
1B,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.03505662,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,0.242481183,1bar
250A,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.075165397,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,0.519907351,250bar
1A,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.048024515,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,0.183109033,1bar
1B,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.048779726,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,0.185988522,1bar
1C,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.080501705,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,0.306938851,1bar
250A,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.084966832,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,0.323963594,250bar
1A,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.018484673,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,0.145603826,1bar
1B,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.020621978,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,0.162439385,1bar
250A,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.05255299,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,0.41396007,250bar
250C,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.035292193,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,0.277996719,250bar
1A,CL 67:3_28.96 | 16:0_17:1_17:1_17:1,0.085161107,CL,1,NA,67,3,28.96,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_17:1,0.181851202,1bar
1B,CL 67:3_28.96 | 16:0_17:1_17:1_17:1,0.088508984,CL,1,NA,67,3,28.96,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_17:1,0.189000185,1bar
