SoyPI_062925_Ex340_Em440,,SoyPI_062925_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
118.0041656,276.1413574,118.0144806,354.030365,
118.5041656,280.6025391,118.5144806,351.5653687,
119.0041656,282.6933899,119.0144806,346.4722595,
119.5041656,281.4919128,119.5144806,347.2242432,
120.0041656,279.2814331,120.0144806,348.3503418,
120.5041656,275.3113403,120.5144806,349.1846313,
121.0041656,276.833313,121.0144806,352.3094482,
121.5041656,278.8942566,121.5144806,347.2146912,
122.0041656,278.9253845,122.0144806,349.6136169,
122.5041656,282.6893005,122.5144806,348.2441101,
123.0041656,279.4198303,123.0144806,341.6051941,
123.5041656,276.3395691,123.5144806,346.1226807,
124.0041656,278.6495361,124.0144806,341.7360229,
124.5041656,278.0283508,124.5144806,349.2653503,
125.0041656,279.9068909,125.0144806,342.9586487,
125.5041656,274.8637695,125.5144806,340.0207214,
126.0041656,278.039093,126.0144806,340.9313354,
126.5041656,270.9121094,126.5144806,335.3103027,
127.0041656,270.5011597,127.0144806,340.236908,
127.5041656,263.2583008,127.5144806,342.0552979,
128.0041656,265.8019714,128.0145416,335.4733582,
128.5041656,255.7130737,128.5144806,339.1922302,
129.0041656,250.9232483,129.0144806,328.4943848,
129.5041656,249.0552063,129.5144806,337.7231445,
130.0041656,245.5445557,130.0144806,330.9555664,
130.5041656,239.1345825,130.5144806,327.770874,
131.0041656,237.910202,131.0144806,331.3168335,
131.5041656,231.5990906,131.5144806,327.6389771,
132.0041656,231.3416901,132.0144806,327.0519104,
132.5041656,228.4849091,132.5144806,327.0960083,
133.0041656,226.5258636,133.0144806,320.7359314,
133.5041656,219.6849213,133.5144806,320.8241272,
134.0041656,222.6089783,134.0144806,321.071167,
134.5041656,224.7799835,134.5144806,317.7127991,
135.0041656,218.1664734,135.0144806,325.342804,
135.5041656,217.5795135,135.5144806,321.0822144,
136.0041656,220.7967682,136.0144806,322.0310059,
136.5041656,210.5809631,136.5144806,317.7333374,
137.0041656,214.8276215,137.0144806,318.8806152,
137.5041656,215.0576324,137.5144806,313.4860229,
138.0041656,217.1065216,138.0144806,317.5055237,
138.5041656,219.1337738,138.5144806,320.4689026,
139.0041656,209.961792,139.0144806,321.7738953,
139.5041656,210.4448853,139.5144806,318.8441467,
140.0041656,210.8777924,140.0144806,318.1112366,
140.5041656,216.2129974,140.5144806,319.5593567,
141.0041656,213.9241028,141.0144806,315.6590576,
141.5041656,210.6522064,141.5144806,316.4100952,
142.0041656,209.2785034,142.0144806,315.03479,
142.5041656,208.8820038,142.5144806,313.5475464,
143.0041656,213.5987549,143.0144806,317.0403137,
143.5041656,214.3095245,143.5144806,317.8447266,
144.0041656,212.4564972,144.0144806,312.3085632,
144.5041656,212.3207855,144.5145416,312.8615723,
145.0041656,210.4013519,145.0144806,317.0382996,
145.5041656,212.1583252,145.5144806,322.1838989,
146.0041656,215.1546326,146.0144806,315.9503784,
146.5041656,210.946228,146.5145416,324.5749207,
147.0041656,214.3752747,147.0144806,317.7172241,
147.5041656,205.9461212,147.5144806,310.453125,
148.0041656,209.6298981,148.0144806,316.0189514,
148.5041656,212.2889709,148.5144806,311.3065186,
149.0041656,210.4608154,149.0144806,316.4143677,
149.5041656,208.8394623,149.5144806,313.3463135,
150.0041656,210.7330627,150.0144806,311.4325867,
150.5041656,211.9699554,150.5144806,313.1166077,
151.0041656,211.7524567,151.0144806,315.1279907,
151.5041656,215.0437164,151.5144806,315.0317383,
152.0041656,206.2581329,152.0144806,315.9477539,
152.5041656,213.3169403,152.5144806,317.6973267,
153.0041656,209.0943909,153.0144806,311.5146484,
153.5041656,204.8774109,153.5144806,319.6989441,
