SoyPI_062925_Ex340_Em440,,SoyPI_062925_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
154.0041656,215.3271637,154.0144806,315.7720947,
154.5041656,213.1045837,154.5144806,314.5626221,
155.0041656,216.7505341,155.0144806,318.7481689,
155.5041656,216.1830902,155.5144806,316.4336243,
156.0041656,217.6487427,156.0144806,324.732605,
156.5041656,217.8049774,156.5144806,318.1745911,
157.0041656,213.3311157,157.0144806,325.3205261,
157.5041656,216.1579285,157.5144806,324.371521,
158.0041656,214.8752289,158.0144806,328.9787598,
158.5041656,216.7528992,158.5144806,335.1461182,
159.0041656,219.1245117,159.0144806,323.4627991,
159.5041656,217.6755829,159.5144806,332.1228943,
160.0041656,221.2891846,160.0144806,329.5035706,
160.5041656,218.0657501,160.5144806,328.5543213,
161.0041656,217.675705,161.0144806,331.2131653,
161.5041656,218.819397,161.5144806,333.2843628,
162.0041656,212.3185272,162.0144806,329.7871094,
162.5041656,212.4940491,162.5144806,339.5757751,
163.0041656,211.8803253,163.0144806,332.2478027,
163.5041656,211.8527069,163.5145416,336.568634,
164.0041656,214.0677795,164.0144806,330.9407654,
164.5041656,217.5393829,164.5144806,329.3699036,
165.0041656,212.5281525,165.0144806,327.2637329,
165.5041656,218.0931854,165.5144806,327.7893677,
166.0041656,218.9881592,166.0144806,328.987915,
166.5041656,215.4278564,166.5144806,322.8534546,
167.0041656,210.6521301,167.0144806,330.7505798,
167.5041656,216.2960358,167.5144806,325.8476257,
168.0041656,217.8362427,168.0144806,320.9430237,
168.5041656,214.6920471,168.5144806,320.0231934,
169.0041656,215.3514099,169.0144806,319.1607056,
169.5041656,208.4820404,169.5144806,321.4848633,
170.0041656,217.9611359,170.0144806,321.0308228,
170.5041656,211.0994263,170.5144806,317.6127014,
171.0041656,212.6882629,171.0144806,318.4659119,
171.5041656,207.4440308,171.5144806,311.5322876,
172.0041656,211.427475,172.0144806,313.5687256,
172.5041656,211.2029877,172.5144806,308.1217346,
173.0041656,208.0390167,173.0144806,314.2338867,
173.5041656,208.7705994,173.5144806,309.9120178,
174.0041656,204.9077606,174.0144806,315.2898865,
174.5041656,208.7349548,174.5145416,310.6736145,
175.0041656,205.2739716,175.0144806,313.6133728,
175.5041656,208.400238,175.5144806,306.710083,
176.0041656,208.5215912,176.0144806,314.6940002,
176.5041656,204.1976471,176.5145416,303.4954834,
177.0041656,206.1352234,177.0144806,312.1870422,
177.5041656,206.6031647,177.5145416,303.3304138,
178.0041656,205.0583649,178.0144806,308.974762,
178.5041656,204.4534302,178.5144806,304.1830139,
179.0041656,202.4698029,179.0144806,307.9863281,
179.5041656,198.276474,179.5144806,301.3670044,
180.0041656,191.443512,180.0144806,305.0191956,
180.5041656,188.6788025,180.5144806,294.926178,
181.0041656,187.8476105,181.0144806,304.82547,
181.5041656,184.406601,181.5144806,292.0264893,
182.0041656,178.4924927,182.0144806,293.4515686,
182.5041656,179.3904724,182.5144806,290.5400391,
183.0041656,172.9987946,183.0144806,290.169281,
183.5041656,171.9790192,183.5144806,291.6833801,
