time (s),POPE A,POPE B,POPE C,SoyPI A,SoyPI B,SoyPI C,xPE A,xPE B,xPE C,POPG A,POPG B,POPG C
8.150001,0.05165441,0.100595596,0.076698292,0.046923883,0.036665706,0.042477225,0.004395642,0.009184604,-0.00120376,0.026504039,-0.003371349,-0.012940635
8.25,0.062424391,0.091999152,0.094485821,0.023969868,0.039936738,0.041904386,0.00292284,0.003446005,0.008398546,0.011648633,-0.009252631,-0.005577725
8.35,0.096537497,0.099276767,0.077557364,0.040732685,0.027409035,0.043780352,0.000943986,-0.001870828,0.008238022,0.020248531,0.011300743,-0.010090919
8.45,0.071953124,0.096905579,0.074538428,0.034808545,0.058725961,0.053046084,-0.009507822,0.009173885,-0.001738818,0.004637787,0.0019284,-0.005860877
8.55,0.085481339,0.098186505,0.100080078,0.04260653,0.05332148,0.047345698,0.00228042,0.009898804,0.00158047,0.003560234,0.001942,-0.001803324
8.650001,0.063934739,0.117685252,0.101081609,0.036308758,0.029265709,0.034897678,0.000942136,0.012342378,-0.012800817,0.012820521,0.01434936,-0.008400033
8.75,0.074764509,0.096981993,0.094705825,0.056212352,0.047418118,0.061998507,-0.004251008,0.010276826,-0.006952099,0.003528898,0.012736698,-0.00599942
8.85,0.064748262,0.104564221,0.065627969,0.046865776,0.049254732,0.056963939,-0.009471764,0.010073266,0.007409946,0.016768029,0.00542951,-0.016056675
8.95,0.076481316,0.113755323,0.07598014,0.045418145,0.024298263,0.043076947,0.002625345,0.006710729,-0.000194938,0.012304424,0.00772952,-0.015658407
9.05,0.079475183,0.097991625,0.095961957,0.050311448,0.03984667,0.053054519,-0.004649528,0.015044598,0.002750578,0.010274995,-0.012472743,-0.011211298
9.150001,0.083322324,0.0890247,0.084098933,0.054717527,0.038525997,0.037776158,-0.005298141,0.009528096,-0.000425112,0.018533534,0.000560276,0.0001407
9.25,0.100551064,0.11121,0.105571854,0.051223992,0.038894996,0.057635107,-0.001028071,0.003608063,0.003104798,0.000911487,0.008951924,-0.009554098
9.35,0.083109024,0.106030943,0.115507222,0.046246805,0.04223192,0.05788916,0.004062115,0.008026994,0.000983293,0.009531805,0.005528188,-0.014118673
9.45,0.078980783,0.11530759,0.097465625,0.024189696,0.045135293,0.052425137,0.002758019,0.009832934,0.004538705,0.005104628,0.003173358,-0.010839467
9.55,0.091672755,0.110064343,0.080575228,0.037695747,0.033117548,0.034372961,0.000962582,0.013258732,0.002688478,0.011388265,-0.003756864,-0.005546726
9.650001,0.081601672,0.095196466,0.120321853,0.035262346,0.035515075,0.056555929,0.009513357,0.012283065,0.001589175,0.010439756,0.009115031,-0.009514353
9.75,0.093740764,0.089086059,0.109320782,0.055376778,0.019564452,0.053159448,-0.001295104,0.008771173,-0.002162577,0.003547539,0.003572468,-0.005699735
9.85,0.080448826,0.108378636,0.121717199,0.053294857,0.0592191,0.043488083,0.006143523,0.00930415,-0.004959751,0.013139233,-0.000340417,-0.002703516
9.95,0.095082652,0.112655092,0.099312536,0.054041709,0.039541212,0.05200248,0.003071048,0.016531598,0.007698813,0.014167167,4.8356E-05,-0.002331373
10.05,0.095899914,0.104692093,0.088882909,0.055933659,0.042387303,0.063590961,-0.007329247,0.013631208,-0.00552853,0.009255451,-0.00287722,-0.007306558
10.15,0.082482362,0.09978086,0.115230781,0.046508752,0.048188105,0.052000389,0.005885102,0.008351347,-0.001111072,0.020544051,0.002804987,-0.017584665
10.25,0.093907004,0.117050962,0.102537559,0.051100972,0.047956491,0.068437704,0.009862276,0.009946504,-0.004473928,0.004797824,0.012505255,-0.001176168
10.35,0.095735097,0.096113093,0.128687571,0.055245592,0.033890478,0.066611778,-0.00209223,0.008491397,-0.001308588,0.006226329,-0.002172252,-0.00071347
10.45,0.099929129,0.109116534,0.121493376,0.040350998,0.057242319,0.054042637,-0.007058601,0.003086544,-0.006427739,-0.000145658,-0.001067548,-0.011572644
10.55,0.089420787,0.129045457,0.128955743,0.06595967,0.04581987,0.056244247,-0.002901053,0.01000794,-0.005738772,0.010140597,0.003660567,-0.014221026
10.65,0.088441526,0.121399424,0.100690772,0.062906944,0.042363228,0.068558788,0.002455972,0.007309118,0.003541559,0.018875964,0.000331336,-0.021716808
10.75,0.091848295,0.115011941,0.109322986,0.057594124,0.051199756,0.049093825,-0.001138113,0.017392582,-0.011129055,0.00997309,0.010944021,-0.006770719
10.85,0.084639033,0.126805319,0.099821426,0.05259387,0.057963986,0.045158864,-0.000143806,0.009437043,-0.004282742,0.012655047,-0.006133262,-0.014086117
10.95,0.073211291,0.113852005,0.114385239,0.053182259,0.045330713,0.037584948,-0.003261435,0.012556824,-0.000470176,0.011530662,-0.001927939,0.000624592
11.05,0.076048844,0.136807663,0.121377605,0.048391598,0.054224943,0.061243264,0.004098673,0.012940991,-0.006880443,0.01709914,1.0194E-05,-0.007405245
11.15,0.087068078,0.122384938,0.105800663,0.04199428,0.048475278,0.055009293,0.003973262,0.012033671,0.005191422,0.008387541,0.011023599,-0.01258433
11.25,0.103090567,0.135488403,0.145249372,0.051595155,0.06337349,0.073551163,-0.000828125,0.014423923,-0.001717665,0.022263767,0.005723058,-0.005876849
11.35,0.10505205,0.118661261,0.125104054,0.06254105,0.063109795,0.055181257,-0.001461601,0.017561862,-0.005854748,0.00757741,0.001065682,-0.009173004
11.45,0.085399137,0.13092019,0.114985981,0.062347458,0.05090096,0.064672887,6.37553E-05,0.001671676,0.003433415,0.011102481,0.00367775,-0.018957838
11.55,0.106044542,0.125772468,0.124164845,0.059679606,0.056113351,0.085300401,-0.005013039,0.003038724,-0.00443583,0.01324739,0.012413712,-0.008245789
11.65,0.087532553,0.129016853,0.114403214,0.044700866,0.050676718,0.057188035,0.004114923,0.007119043,-0.004696248,0.012970562,0.0019735,-0.001032049
11.75,0.099177372,0.112977553,0.120765277,0.059739175,0.045883562,0.064210548,-0.000915735,0.011466563,-0.003246196,0.000864259,-0.003779715,-0.000287605
11.85,0.09413768,0.139725279,0.120079269,0.055091307,0.040687526,0.052783011,0.004800043,0.007109901,0.001262602,0.015155366,-0.002835741,-0.002390481
11.95,0.110416396,0.136712103,0.120994834,0.046488825,0.051669931,0.067881374,0.007021212,0.013574207,0.00388823,0.005721782,0.006750885,-0.010882003
12.05,0.107985145,0.141994369,0.137233649,0.070133085,0.058847363,0.055019733,0.005674039,0.012753027,0.010618035,0.012832388,0.008028518,-0.010033206
12.15,0.123295299,0.154546117,0.134250067,0.047647272,0.052412761,0.072120902,-0.009801586,0.013516958,-0.003115164,0.00739532,-0.001033316,0.001381845
12.25,0.105800127,0.129331066,0.140077815,0.064918547,0.055869719,0.072574306,0.00788617,0.009105444,0.000179436,0.004906044,-0.004468731,-0.005225326
12.35,0.10873903,0.138352912,0.113924235,0.047142153,0.044403195,0.060477443,0.003569976,0.003179976,-0.004964507,0.014909293,0.008288141,-0.006288849
12.45,0.08422054,0.135148098,0.123648288,0.07341079,0.049720687,0.057270403,0.007412961,0.001617771,-0.001611466,0.018071384,0.003460266,-0.006659939
12.55,0.098234684,0.153534293,0.12113202,0.053584414,0.0399027,0.069344862,0.00775423,-0.002781454,-8.62E-06,0.019669503,-0.003628536,-0.011215591
12.65,0.099369669,0.146488818,0.121622671,0.053501323,0.049395761,0.075203941,0.007729981,0.003511627,-0.001871046,0.00544107,0.007046772,-0.001442854
12.75,0.115216604,0.136221761,0.116768949,0.041470271,0.065155938,0.073545262,-0.003811474,0.00835414,-0.001161328,0.004011695,0.008020211,-0.012233505
12.85,0.096375786,0.126543314,0.120573215,0.048047182,0.02713113,0.064116081,-0.001345589,0.003195911,-0.009079033,0.000557571,0.007289751,0.002596653
12.95,0.108848397,0.164720306,0.124951915,0.058804641,0.051723078,0.08502662,0.001520972,0.001889559,-0.01188386,0.006402919,0.000720617,-0.013191751
13.05,0.103735289,0.137711186,0.123876687,0.050367532,0.063023367,0.06976385,0.000880788,0.007884804,-0.01234212,0.018559164,-0.005197932,-0.006803
13.15,0.108154658,0.155931941,0.134422763,0.055633742,0.052509095,0.062559922,0.003125149,0.004759237,-0.004173112,-0.000585823,0.010122139,-0.00752503
13.25,0.105211664,0.144922354,0.124711951,0.064507736,0.060546081,0.066646197,0.001834552,0.009633623,-0.004314715,0.019362292,0.007779837,-0.009919942
13.35,0.11429646,0.161936306,0.140371938,0.052526928,0.065900324,0.07025812,0.011978231,-0.001790346,-0.008539326,0.000845704,0.001525778,-0.003925619
13.45,0.104027104,0.155599336,0.140289573,0.074371072,0.074058973,0.083969043,-0.000499745,0.006715205,0.001909193,0.012461153,0.006401719,0.002518833
13.55,0.11498389,0.157050538,0.135949338,0.058704013,0.065344794,0.076954087,-0.003050637,0.009710503,-0.007476603,0.014784389,0.012411942,-0.007656298
13.65,0.133073225,0.140479032,0.136308553,0.070656676,0.061706491,0.071568485,0.002253759,-0.000901389,-0.006078489,0.006287986,0.008760674,-0.004556203
13.75,0.111420864,0.135327677,0.156774416,0.063189271,0.07546872,0.071469101,-0.003292641,-0.002568604,-0.000602976,0.013023578,0.016914935,-0.003703701
13.85,0.111400409,0.150074917,0.134577991,0.069159841,0.066709479,0.071596385,0.004561349,0.007173982,-4.94E-05,0.016965871,0.008213081,-0.005297807
13.95,0.116926196,0.158294865,0.148468809,0.071898889,0.065583816,0.080622284,-0.000168621,0.003577189,-0.007704188,0.000298057,0.004696128,-0.002956065
14.05,0.102656373,0.160648286,0.13504555,0.058911521,0.063057019,0.089313529,0.014846049,0.007652264,-0.001105055,0.017113441,0.004883722,-0.000581879
14.15,0.109908515,0.144657196,0.147211538,0.070398669,0.058371171,0.081671211,-0.004929791,-0.004312013,-0.011542629,0.002263542,0.006063867,-0.000317972
14.25,0.119887822,0.150708216,0.14261968,0.059245401,0.073765136,0.076299207,0.006101988,0.011649627,0.000452024,6.94609E-05,0.013656123,-0.007758409
14.35,0.119674551,0.166192756,0.120766607,0.074495181,0.068759292,0.087763251,0.005129299,0.005059024,-0.006556509,-0.001294129,0.005421026,-0.009423921
14.45,0.140483549,0.164237704,0.160318537,0.065161711,0.080117446,0.091547542,0.008111587,0.010582818,-0.012729979,0.002190353,0.008481934,-0.003542412
14.55,0.114061951,0.174589658,0.14832928,0.072472459,0.06898781,0.073254947,-0.000104634,0.003431871,0.000430568,0.00533302,0.003778394,-0.000402579
14.65,0.108127873,0.175115841,0.144030389,0.077045952,0.063744379,0.079667178,0.006063679,0.008614473,-0.006638989,0.012819892,0.00145761,-0.004517016
14.75,0.132232627,0.138940291,0.148557517,0.073215442,0.063658979,0.070752414,0.005314605,0.006522587,0.0055647,0.007344065,0.008551522,-0.007583439
14.85,0.134753296,0.143303808,0.148321379,0.06495348,0.055154178,0.073852296,0.001093432,-0.002205728,-0.003745232,0.014888854,0.013008178,-0.014315448
14.95,0.130894495,0.150196331,0.157831472,0.066409282,0.070166355,0.088873954,-0.002721875,0.013939053,-0.011086371,-0.003569264,0.011355793,-0.005799854
15.05,0.142075315,0.165868674,0.139619501,0.070644663,0.087842757,0.090119963,-0.002074628,0.005965828,0.003810598,0.003480165,0.001970042,-0.007461768
15.15,0.147437752,0.159463102,0.15244509,0.073289142,0.051981887,0.091927838,0.004710549,0.000956047,0.000231251,0.000281277,0.00612243,0.000585413
15.25,0.117216459,0.153731548,0.151572104,0.06334035,0.063090813,0.085070396,0.000253614,0.011943987,-0.002150568,0.01074693,0.014076959,0.007031599
