clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250514 200125	900.2	900	2	0.8	4.9	0	60	99.12013864517212
20250514 200126	900.2	900	2	0.8	4.9	0	60	100.1201400756836
20250514 200127	900.2	900	2	0.8	4.9	0	60	101.12014126777649
20250514 200128	900.2	900	2	0.8	4.9	0	60	102.12014293670654
20250514 200129	900.2	900	2	0.8	4.9	0	60	103.12014412879944
20250514 200130	900.2	900	2	0.8	4.9	0	60	104.12014579772949
20250514 200131	900.2	900	2	0.8	4.9	0	60	105.12014698982239
20250514 200132	900.2	900	2	0.8	4.9	0	60	106.12014865875244
20250514 200133	900.2	900	2	0.8	4.9	0	60	107.12014985084534
20250514 200134	900.2	900	2	0.8	4.9	0	60	108.12015128135681
20250514 200135	900.2	900	2	0.8	4.9	0	60	109.12015271186829
20250514 200136	900.2	900	2	0.8	4.9	0	60	110.12015414237976
20250514 200137	900.2	900	2	0.8	4.9	0	60	111.12015557289124
20250514 200138	900.2	900	2	0.8	4.9	0	60	112.12015700340271
20250514 200139	900.2	900	2	0.8	4.9	0	60	113.1201581954956
20250514 200140	900.2	900	2	0.8	4.9	0	60	114.12015962600708
20250514 200141	900.2	900	2	0.8	4.9	0	60	115.12016105651855
20250514 200142	900.2	900	2	0.8	4.9	0	60	116.12016224861145
20250514 200143	900.2	900	2	0.8	4.9	0	60	117.1201639175415
20250514 200144	900.2	900	2	0.8	4.9	0	60	118.1201651096344
20250514 200145	900.2	900	2	0.8	4.9	0	60	119.12016677856445
20250514 200146	900.2	800	3	0.8	4.9	0	60	120.18016815185547
20250514 200147	822.4	800	3	0.8	4.9	0	60	121.17016959190369
20250514 200148	803.3	800	3	0.8	4.9	0	60	122.17017102241516
20250514 200149	798.4	800	3	0.8	4.9	0	60	123.17017245292664
20250514 200150	799.5	800	3	0.8	4.9	0	60	124.17017364501953
20250514 200151	801.0	800	3	0.8	4.9	0	60	125.17017531394958
20250514 200152	800.7	800	3	0.8	4.9	0	60	126.17017650604248
20250514 200153	799.6	800	3	0.8	4.9	0	60	127.17017793655396
20250514 200154	799.7	800	3	0.8	4.9	0	60	128.17017936706543
20250514 200155	800.2	800	3	0.7	4.9	0	60	129.17018055915833
20250514 200156	800.3	800	3	0.7	4.9	0	60	130.17018222808838
20250514 200157	800.0	800	3	0.7	4.9	0	60	131.17018342018127
20250514 200158	799.8	800	3	0.7	4.9	0	60	132.17018508911133
20250514 200159	799.9	800	3	0.7	4.9	0	60	133.17018628120422
20250514 200200	800.0	800	3	0.7	4.9	0	60	134.17018795013428
20250514 200201	800.1	800	3	0.7	4.9	0	60	135.17018914222717
20250514 200202	800.2	800	3	0.7	4.9	0	60	136.17019057273865
20250514 200203	800.2	800	3	0.7	4.9	0	60	137.17019200325012
20250514 200204	800.2	800	3	0.7	4.9	0	60	138.1701934337616
20250514 200205	800.2	800	3	0.7	4.9	0	60	139.17019486427307
20250514 200206	800.2	800	3	0.7	4.9	0	60	140.17019629478455
20250514 200207	800.2	800	3	0.7	4.9	0	60	141.17019748687744
20250514 200208	800.2	800	3	0.7	4.9	0	60	142.17019891738892
20250514 200209	800.2	800	3	0.7	4.9	0	60	143.1702003479004
20250514 200210	800.2	800	3	0.7	4.9	0	60	144.17020177841187
20250514 200211	800.2	800	3	0.7	4.9	0	60	145.17020320892334
20250514 200212	800.2	800	3	0.7	4.9	0	60	146.17020440101624
20250514 200213	800.2	800	3	0.7	4.9	0	60	147.1702060699463
20250514 200214	800.3	800	3	0.7	4.9	0	60	148.17020726203918
20250514 200215	800.2	800	3	0.7	4.9	0	60	149.17020893096924
20250514 200216	800.2	800	3	0.7	4.9	0	60	150.17021012306213
