250bar_Ex340_Em440,,250bar_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
91.00416565,463.0455933,91.01448059,233.9668884,
91.50416565,461.749176,91.51454163,235.7396088,
92.00416565,461.6022949,92.01448059,236.5458832,
92.50416565,457.6839905,92.51448059,236.8948212,
93.00416565,463.9421387,93.01448059,237.4384003,
93.50416565,458.4942017,93.51448059,237.2132416,
94.00416565,463.2054443,94.01448059,235.1706848,
94.50416565,460.2333984,94.51448059,233.2582245,
95.00416565,456.6595459,95.01448059,232.1285248,
95.50416565,460.4599304,95.51454163,229.4966583,
96.00416565,459.4807739,96.01448059,234.6182861,
96.50416565,449.2666016,96.51448059,233.8246307,
97.00416565,462.1377258,97.01448059,233.0358276,
97.50416565,458.8373108,97.51448059,225.6159973,
98.00416565,458.6029663,98.01448059,240.4594116,
98.50416565,459.9744568,98.51448059,234.5419769,
99.00416565,457.078186,99.01448059,233.315506,
99.50416565,458.7224426,99.51448059,233.1038971,
100.0041656,459.6130371,100.0144806,229.2981262,
100.5041656,456.0805664,100.5144806,237.72258,
101.0041656,455.9598694,101.0144806,230.3555908,
101.5041656,463.2189941,101.5144806,235.1349487,
102.0041656,463.0776978,102.0144806,229.626709,
102.5041656,456.6490173,102.5144806,232.9720764,
103.0041656,459.5941467,103.0144806,232.1290131,
103.5041656,449.5206909,103.5144806,237.7506714,
104.0041656,453.3634033,104.0144806,239.3240356,
104.5041656,445.2024841,104.5144806,234.9380188,
105.0041656,448.3113708,105.0144806,237.8242188,
105.5041656,441.589447,105.5144806,239.3934326,
106.0041656,440.6765442,106.0144806,235.5665741,
106.5041656,436.2529602,106.5144806,246.0109253,
107.0041656,433.6941528,107.0144806,240.5106049,
107.5041656,421.0720825,107.5144806,244.7549133,
108.0041656,418.5161743,108.0144806,241.1333771,
108.5041656,410.894104,108.5144806,244.7749176,
109.0041656,411.8827209,109.0144806,245.8594513,
109.5041656,408.9434814,109.5144806,245.6306,
110.0041656,407.1524048,110.0144806,247.7761536,
110.5041656,395.2032166,110.5144806,247.1761322,
111.0041656,387.7223206,111.0144806,252.144928,
111.5041656,383.5792236,111.5144806,254.5050659,
112.0041656,380.7326965,112.0144806,258.8109436,
112.5041656,379.3855286,112.5144806,254.0750427,
113.0041656,374.2475586,113.0144806,250.8246918,
113.5041656,381.1112061,113.5144806,252.4491272,
114.0041656,392.6210022,114.0144806,252.4526367,
114.5041656,387.6369019,114.5144806,246.4442902,
115.0041656,399.2010193,115.0144806,252.3719635,
115.5041656,408.0835571,115.5144806,247.8703003,
116.0041656,403.6161804,116.0144806,250.4716492,
116.5041656,417.2687988,116.5144806,245.8504944,
117.0041656,415.0329285,117.0144806,246.4633179,
117.5041656,422.7546997,117.5144806,247.8068085,
118.0041656,421.2971191,118.0144806,243.6708069,
118.5041656,425.489624,118.5144806,242.8540192,
119.0041656,432.5171814,119.0144806,241.4471283,
119.5041656,436.0054932,119.5144806,239.285675,
120.0041656,439.1645813,120.0144806,237.9534454,
120.5041656,437.4180603,120.5144806,236.799469,
121.0041656,441.5160522,121.0144806,240.8666382,
121.5041656,450.9125671,121.5144806,236.7632446,
122.0041656,452.8125,122.0144806,238.4702148,
122.5041656,450.0185242,122.5144806,235.8200226,
123.0041656,451.6309509,123.0144806,236.6987762,
123.5041656,454.2052917,123.5144806,238.1253967,
124.0041656,454.2929688,124.0145416,238.2828369,
124.5041656,450.0708008,124.5144806,231.2294769,
125.0041656,456.6575623,125.0144806,236.4599915,
125.5041656,451.6425171,125.5144806,238.3562317,
126.0041656,451.4674988,126.0144806,232.7087555,
126.5041656,453.467804,126.5144806,229.9568634,
127.0041656,451.8658752,127.0144806,227.5133057,
127.5041656,443.7836914,127.5144806,236.3572235,
128.0041656,443.2811584,128.0144806,232.4659882,
128.5041656,434.921814,128.5144806,237.075592,
129.0041656,436.7541199,129.0144806,235.7289886,
129.5041656,427.5041809,129.5144806,235.6010742,
130.0041656,423.769043,130.0144806,234.1889038,
130.5041656,424.2398682,130.5144806,232.2086334,
131.0041656,421.3859253,131.0144806,235.3867645,
131.5041656,414.7106628,131.5144806,239.1114349,
132.0041656,419.5617981,132.0144806,239.3834991,
132.5041656,414.5383606,132.5144806,235.4113464,
133.0041656,414.0116882,133.0144806,237.4344635,
133.5041656,399.8537292,133.5144806,231.4144745,
134.0041656,410.3686523,134.0144806,237.3762665,
134.5041656,395.6737061,134.5144806,233.7788849,
135.0041656,394.440918,135.0144806,241.2510071,
135.5041656,394.1304932,135.5144806,244.9150848,
136.0041656,395.3005371,136.0144806,235.4669342,
136.5041656,393.9673157,136.5144806,235.129303,
137.0041656,394.6308594,137.0144806,234.6718445,
137.5041656,404.7598877,137.5144806,232.5403595,
138.0041656,395.5272217,138.0145416,242.2330933,
138.5041656,397.0642395,138.5144806,237.8398743,
139.0041656,395.4853516,139.0144806,233.9823456,
139.5041656,391.2106628,139.5144806,238.8123779,
140.0041656,391.2872925,140.0144806,238.0975342,
140.5041656,397.0436707,140.5144806,237.9162292,
141.0041656,394.5335693,141.0144806,238.8767853,
141.5041656,391.5739746,141.5144806,240.1009369,
142.0041656,393.1850586,142.0144958,236.2795563,
142.5041656,388.5743713,142.5144806,237.3965607,
143.0041656,389.9877625,143.0144806,238.0318756,
143.5041656,388.5675964,143.5144806,237.9890747,
144.0041656,385.0597534,144.0144806,233.6717072,
144.5041656,386.9129028,144.5144806,235.4441071,
145.0041656,389.1581116,145.0144806,238.6445465,
145.5041656,390.5226746,145.5144806,239.1991425,
146.0041656,379.746521,146.0144806,234.6984863,
146.5041656,391.2098999,146.5144806,233.3520355,
147.0041656,385.7495422,147.0144806,233.8392029,
147.5041656,388.9604187,147.5144806,235.5843048,
148.0041656,387.980835,148.0144806,236.5995789,
148.5041656,387.8646851,148.5144806,231.1878967,
149.0041656,390.4636536,149.0144806,236.0880127,
149.5041656,394.5069885,149.5144806,239.0869141,
150.0041656,385.3051453,150.0144806,239.6226807,
150.5041656,385.5762329,150.5144806,240.2793274,
151.0041656,393.2585754,151.0144806,236.97612,
151.5041656,389.0609741,151.5144806,237.8220978,
152.0041656,395.6070251,152.0144806,233.3255463,
152.5041656,391.721283,152.5144806,235.5496368,
153.0041656,393.3651123,153.0144806,236.486145,
153.5041656,381.2222595,153.5144806,234.2938538,
154.0041656,386.9156189,154.0144806,235.2231293,
154.5041656,380.7466431,154.5145416,237.6345825,
155.0041656,380.5409851,155.0144806,234.655365,
155.5041656,371.2431641,155.5144806,244.8623199,
156.0041656,369.4881287,156.0145416,242.8410797,
156.5041656,366.635498,156.5144806,246.1263885,
157.0041656,363.1222534,157.0144806,240.1561432,
157.5041656,352.9951477,157.5144806,243.114975,
158.0041656,341.9692688,158.0144806,241.768692,
158.5041656,345.1862183,158.5144806,242.6212463,
159.0041656,344.6331482,159.0144806,241.6220093,
159.5041656,334.5510254,159.5144806,242.1673737,
160.0041656,334.4890137,160.0144806,242.3495483,
160.5041656,317.2858887,160.5144806,242.7379761,
161.0041656,321.9407959,161.0144806,248.638504,
161.5041656,311.7903748,161.5144806,237.8141785,
162.0041656,308.848053,162.0144806,242.6128235,
162.5041656,306.0109253,162.5144806,240.3791046,
163.0041656,307.3581848,163.0144806,242.4360504,
163.5041656,304.4856873,163.5144806,247.2829742,
164.0041656,302.0417175,164.0144806,241.931366,
164.5041656,305.1355286,164.5144806,239.2676544,
165.0041656,306.371521,165.0144806,248.3788147,
165.5041656,313.6023865,165.5144806,244.7546539,
166.0041656,310.741333,166.0144806,246.9555054,
